# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: C:\altera_trn\Quartus_II_Software_Design_Series_Foundation\QIIF7_2\Ex6\Schematic\io_assignments.csv
# Generated on: Fri Sep 28 14:53:29 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,I/O Bank,Vref Group,Output Pin Load,Reserved,Group
clk1,Input,PIN_H16,1.8 V,3,B3_N0,,,
dataa[7],Input,PIN_B12,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[6],Input,PIN_B11,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[5],Input,PIN_A13,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[4],Input,PIN_B13,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[3],Input,PIN_C12,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[2],Input,PIN_C13,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[1],Input,PIN_A14,2.5 V,2,B2_N0,,,dataa[7..0]
dataa[0],Input,PIN_B14,2.5 V,2,B2_N0,,,dataa[7..0]
datab[7],Input,PIN_F9,2.5 V,2,B2_N0,,,datab[7..0]
datab[6],Input,PIN_F10,2.5 V,2,B2_N0,,,datab[7..0]
datab[5],Input,PIN_A10,2.5 V,2,B2_N0,,,datab[7..0]
datab[4],Input,PIN_B10,2.5 V,2,B2_N0,,,datab[7..0]
datab[3],Input,PIN_G11,2.5 V,2,B2_N0,,,datab[7..0]
datab[2],Input,PIN_G10,2.5 V,2,B2_N0,,,datab[7..0]
datab[1],Input,PIN_A11,2.5 V,2,B2_N0,,,datab[7..0]
datab[0],Input,PIN_A12,2.5 V,2,B2_N0,,,datab[7..0]
q[15],Output,PIN_N12,1.8 V,3,B3_N1,,,q[15..0]
q[14],Output,PIN_M12,1.8 V,3,B3_N1,,,q[15..0]
q[13],Output,PIN_H12,1.8 V,3,B3_N0,,,q[15..0]
q[12],Output,PIN_N13,1.8 V,3,B3_N1,,,q[15..0]
q[11],Output,PIN_J12,1.8 V,3,B3_N0,,,q[15..0]
q[10],Output,PIN_P14,1.8 V,3,B3_N1,,,q[15..0]
q[9],Output,PIN_G16,1.8 V,3,B3_N0,,,q[15..0]
q[8],Output,PIN_P15,1.8 V,3,B3_N1,,,q[15..0]
q[7],Output,PIN_G15,1.8 V,3,B3_N0,,,q[15..0]
q[6],Output,PIN_P16,1.8 V,3,B3_N1,,,q[15..0]
q[5],Output,PIN_F15,1.8 V,3,B3_N0,,,q[15..0]
q[4],Output,PIN_N15,1.8 V,3,B3_N1,,,q[15..0]
q[3],Output,PIN_F16,1.8 V,3,B3_N0,,,q[15..0]
q[2],Output,PIN_N16,1.8 V,3,B3_N1,,,q[15..0]
q[1],Output,PIN_J11,1.8 V,3,B3_N0,,,q[15..0]
q[0],Output,PIN_M15,1.8 V,3,B3_N1,,,q[15..0]
rdaddress[4],Input,PIN_G12,1.8 V,3,B3_N0,,,rdaddress[4..0]
rdaddress[3],Input,PIN_H11,1.8 V,3,B3_N0,,,rdaddress[4..0]
rdaddress[2],Input,PIN_H15,1.8 V,3,B3_N0,,,rdaddress[4..0]
rdaddress[1],Input,PIN_J15,1.8 V,3,B3_N1,,,rdaddress[4..0]
rdaddress[0],Input,PIN_J16,1.8 V,3,B3_N1,,,rdaddress[4..0]
wraddress[4],Input,PIN_K15,1.8 V,3,B3_N1,,,wraddress[4..0]
wraddress[3],Input,PIN_K16,1.8 V,3,B3_N1,,,wraddress[4..0]
wraddress[2],Input,PIN_L16,1.8 V,3,B3_N1,,,wraddress[4..0]
wraddress[1],Input,PIN_L15,1.8 V,3,B3_N1,,,wraddress[4..0]
wraddress[0],Input,PIN_L14,1.8 V,3,B3_N1,,,wraddress[4..0]
wren,Input,PIN_M16,1.8 V,3,B3_N1,,,
~ASDO~,Input,PIN_C3,3.3-V LVTTL,1,B1_N0,,,
~LVDS41p/nCEO~,Output,PIN_N14,3.3-V LVTTL,3,B3_N1,,,
~nCSO~,Input,PIN_F4,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_J13,3.3-V LVTTL,3,B3_N1,,,
,Unknown,PIN_K12,3.3-V LVTTL,3,B3_N1,,,
,Unknown,PIN_L13,3.3-V LVTTL,3,B3_N1,,,
,Unknown,PIN_M13,3.3-V LVTTL,3,B3_N1,,,
,Unknown,PIN_M14,3.3-V LVTTL,3,B3_N1,,,
,Unknown,PIN_L11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_M11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R14,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_T14,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R13,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_T13,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_L12,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R12,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_T12,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_P13,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_P12,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_N11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_K10,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_K11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_T10,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R10,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_L10,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_L9,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_P11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_C6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_T11,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_N10,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_A3,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_N9,3.3-V LVTTL,4,B4_N0,,,
,Unknown,PIN_R9,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T9,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_R8,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T8,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_L8,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_L7,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_R7,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T7,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_N8,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T6,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_R5,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T5,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_H14,3.3-V LVTTL,,,,,
,Unknown,PIN_R4,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_A8,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_T4,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_P4,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_P5,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_T3,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_R3,3.3-V LVTTL,4,B4_N1,,,
,Unknown,PIN_M6,3.3-V LVTTL,,,,,
,Unknown,PIN_D13,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_M5,3.3-V LVTTL,,,,,
,Unknown,PIN_N5,3.3-V LVTTL,,,,,
,Unknown,PIN_L6,3.3-V LVTTL,,,,,
,Unknown,PIN_L5,3.3-V LVTTL,,,,,
,Unknown,PIN_M4,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_L4,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_P3,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_P2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_P1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_L3,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_N2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_N1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_M3,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_M2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_J4,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_L2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_L1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_M1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_K5,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_K4,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_K1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_K2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_J1,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_J2,3.3-V LVTTL,1,B1_N1,,,
,Unknown,PIN_J5,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_H1,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_H2,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_G5,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_H4,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_A1,3.3-V LVTTL,,,,,
,Unknown,PIN_C11,3.3-V LVTTL,2,B2_N0,,,
,Unknown,PIN_F1,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_H5,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_T1,3.3-V LVTTL,,,,,
,Unknown,PIN_F2,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_G1,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E9,3.3-V LVTTL,,,,,
,Unknown,PIN_G2,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E2,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E1,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_F3,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_C14,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_D4,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_D3,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_E4,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E3,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E5,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_R6,3.3-V LVTTL,,,,,
,Unknown,PIN_D5,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_C2,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_C1,3.3-V LVTTL,1,B1_N0,,,
,Unknown,PIN_E10,3.3-V LVTTL,2,,,,
,Unknown,PIN_E7,3.3-V LVTTL,2,,,,
,Unknown,PIN_C10,3.3-V LVTTL,2,,,,
,Unknown,PIN_A16,3.3-V LVTTL,,,,,
,Unknown,PIN_R1,3.3-V LVTTL,1,,,,
,Unknown,PIN_D16,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_B9,3.3-V LVTTL,2,B2_N0,,,
,Unknown,PIN_D15,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_H13,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_J7,3.3-V LVTTL,,,,,
,Unknown,PIN_G13,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_G7,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_A9,3.3-V LVTTL,2,B2_N0,,,
,Unknown,PIN_G6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_A6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_D10,3.3-V LVTTL,2,B2_N0,,,
,Unknown,PIN_B6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_D8,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_M9,3.3-V LVTTL,,,,,
,Unknown,PIN_M8,3.3-V LVTTL,,,,,
,Unknown,PIN_A5,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_A4,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_B4,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_H7,3.3-V LVTTL,,,,,
,Unknown,PIN_B5,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_K3,3.3-V LVTTL,1,,,,
,Unknown,PIN_R16,3.3-V LVTTL,3,,,,
,Unknown,PIN_G3,3.3-V LVTTL,1,,,,
,Unknown,PIN_D11,3.3-V LVTTL,2,B2_N0,,,
,Unknown,PIN_J10,3.3-V LVTTL,,,,,
,Unknown,PIN_C15,3.3-V LVTTL,,,,,
,Unknown,PIN_F8,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_T2,3.3-V LVTTL,4,,,,
,Unknown,PIN_N4,3.3-V LVTTL,,,,,
,Unknown,PIN_B15,3.3-V LVTTL,,,,,
,Unknown,PIN_H10,3.3-V LVTTL,,,,,
,Unknown,PIN_J3,3.3-V LVTTL,,,,,
,Unknown,PIN_C4,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_B1,3.3-V LVTTL,1,,,,
,Unknown,PIN_F13,3.3-V LVTTL,,,,,
,Unknown,PIN_A7,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_F5,3.3-V LVTTL,,,,,
,Unknown,PIN_H9,3.3-V LVTTL,,,,,
,Unknown,PIN_P10,3.3-V LVTTL,4,,,,
,Unknown,PIN_G9,3.3-V LVTTL,,,,,
,Unknown,PIN_F7,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_E11,3.3-V LVTTL,,,,,
,Unknown,PIN_C7,3.3-V LVTTL,2,,,,
,Unknown,PIN_E12,3.3-V LVTTL,,,,,
,Unknown,PIN_D12,3.3-V LVTTL,,,,,
,Unknown,PIN_C5,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_P7,3.3-V LVTTL,4,,,,
,Unknown,PIN_D6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_P8,3.3-V LVTTL,,,,,
,Unknown,PIN_A2,3.3-V LVTTL,2,,,,
,Unknown,PIN_E8,3.3-V LVTTL,,,,,
,Unknown,PIN_F11,3.3-V LVTTL,,,,,
,Unknown,PIN_A15,3.3-V LVTTL,2,,,,
,Unknown,PIN_E16,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_P6,3.3-V LVTTL,,,,,
,Unknown,PIN_T16,3.3-V LVTTL,,,,,
,Unknown,PIN_K8,3.3-V LVTTL,,,,,
,Unknown,PIN_K13,3.3-V LVTTL,,,,,
,Unknown,PIN_N3,3.3-V LVTTL,,,,,
,Unknown,PIN_B2,3.3-V LVTTL,,,,,
,Unknown,PIN_F12,3.3-V LVTTL,,,,,
,Unknown,PIN_D14,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_J14,3.3-V LVTTL,,,,,
,Unknown,PIN_H8,3.3-V LVTTL,,,,,
,Unknown,PIN_B7,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_D7,3.3-V LVTTL,,,,,
,Unknown,PIN_F6,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_R15,3.3-V LVTTL,,,,,
,Unknown,PIN_C9,3.3-V LVTTL,,,,,
,Unknown,PIN_R2,3.3-V LVTTL,,,,,
,Unknown,PIN_K6,3.3-V LVTTL,,,,,
,Unknown,PIN_K7,3.3-V LVTTL,,,,,
,Unknown,PIN_P9,3.3-V LVTTL,,,,,
,Unknown,PIN_E13,3.3-V LVTTL,,,,,
,Unknown,PIN_E15,3.3-V LVTTL,,,,,
,Unknown,PIN_N6,3.3-V LVTTL,,,,,
,Unknown,PIN_N7,3.3-V LVTTL,,,,,
,Unknown,PIN_C16,3.3-V LVTTL,,,,,
,Unknown,PIN_M10,3.3-V LVTTL,4,,,,
,Unknown,PIN_B8,3.3-V LVTTL,,,,,
,Unknown,PIN_D1,3.3-V LVTTL,,,,,
,Unknown,PIN_D2,3.3-V LVTTL,,,,,
,Unknown,PIN_B16,3.3-V LVTTL,3,,,,
,Unknown,PIN_K14,3.3-V LVTTL,3,,,,
,Unknown,PIN_G14,3.3-V LVTTL,3,,,,
,Unknown,PIN_K9,3.3-V LVTTL,,,,,
,Unknown,PIN_T15,3.3-V LVTTL,4,,,,
,Unknown,PIN_H6,3.3-V LVTTL,,,,,
,Unknown,PIN_J6,3.3-V LVTTL,,,,,
,Unknown,PIN_M7,3.3-V LVTTL,4,,,,
,Unknown,PIN_J8,3.3-V LVTTL,,,,,
,Unknown,PIN_C8,3.3-V LVTTL,,,,,
,Unknown,PIN_E14,3.3-V LVTTL,3,B3_N0,,,
,Unknown,PIN_B3,3.3-V LVTTL,2,B2_N1,,,
,Unknown,PIN_J9,3.3-V LVTTL,,,,,
,Unknown,PIN_H3,3.3-V LVTTL,,,,,
,Unknown,PIN_D9,3.3-V LVTTL,,,,,
,Unknown,PIN_F14,3.3-V LVTTL,,,,,
,Unknown,PIN_G4,3.3-V LVTTL,,,,,
,Unknown,PIN_G8,3.3-V LVTTL,,,,,
